qid,tid,vid,enumid,wzb.hh.id,interview_wzb.ind.id,treatment,pL,pR,nL,nR,tL,tR,aL,aR,timing,start_n2,date,time,version
1,2,14,0,214120,214120x1,time,2,6,12,88,3,6,24,528,2.0,87,30/06/15,11:28,2.3
2,2,14,0,214120,214120x1,time,6,9,60,40,3,6,360,360,0.0,39,30/06/15,11:28,2.3
3,2,14,0,214120,214120x1,time,2,7,96,4,3,6,192,28,0.0,3,30/06/15,11:28,2.3
4,2,14,0,214120,214120x1,time,1,1.5,94,6,3,6,94,9.0,0.0,5,30/06/15,11:28,2.3
5,2,14,0,214120,214120x1,time,4.5,6,42,58,3,6,189.0,348,0.0,58,30/06/15,11:28,2.3
6,2,14,0,214120,214120x1,time,5,6,48,52,3,6,240,312,0.0,52,30/06/15,11:28,2.3
7,2,14,0,214120,214120x1,time,4,9,56,44,3,6,224,396,0.0,44,30/06/15,11:28,2.3
8,2,14,0,214120,214120x1,time,1,4.5,86,14,3,6,86,63.0,0.0,13,30/06/15,11:28,2.3
9,2,14,0,214120,214120x1,time,5,9,42,58,3,6,210,522,1.0,57,30/06/15,11:28,2.3
10,2,14,0,214120,214120x1,time,4,8.5,24,76,3,6,96,646.0,0.0,75,30/06/15,11:28,2.3
11,2,14,0,214120,214120x1,time,7.5,9,14,86,3,6,105.0,774,0.0,85,30/06/15,11:28,2.3
12,2,14,0,214120,214120x1,time,6,7.5,32,68,3,6,192,510.0,0.0,67,30/06/15,11:28,2.3
13,2,14,0,214120,214120x1,time,1,7,94,6,3,6,94,42,0.0,5,30/06/15,11:28,2.3
14,2,14,0,214120,214120x1,time,6,7,12,88,3,6,72,616,0.0,88,30/06/15,11:28,2.3
15,2,14,0,214120,214120x1,time,5,8,62,38,3,6,310,304,0.0,38,30/06/15,11:28,2.3
16,2,14,0,214120,214120x1,time,2.5,9,48,52,3,6,120.0,468,0.0,51,30/06/15,11:28,2.3
17,2,14,0,214120,214120x1,time,0.5,6,40,60,3,6,20.0,360,0.0,59,30/06/15,11:28,2.3
18,2,14,0,214120,214120x1,time,2.5,8,96,4,3,6,240.0,32,0.0,4,30/06/15,11:28,2.3
19,2,14,0,214120,214120x1,time,6,9.5,56,44,3,6,336,418.0,0.0,43,30/06/15,11:28,2.3
20,2,14,0,214120,214120x1,time,3,6,86,14,3,6,258,84,0.0,14,30/06/15,11:28,2.3
21,2,14,0,214120,214120x1,time,6,7.5,68,32,0,3,408,240.0,0.0,32,30/06/15,11:28,2.3
22,2,14,0,214120,214120x1,time,0.5,6,44,56,0,3,22.0,336,0.0,55,30/06/15,11:28,2.3
23,2,14,0,214120,214120x1,time,1,1.5,48,52,0,3,48,78.0,0.0,52,30/06/15,11:28,2.3
24,2,14,0,214120,214120x1,time,4.5,6,82,18,0,3,369.0,108,0.0,18,30/06/15,11:28,2.3
25,2,14,0,214120,214120x1,time,3,6,96,4,0,3,288,24,0.0,4,30/06/15,11:28,2.3
26,2,14,0,214120,214120x1,time,6,9.5,44,56,0,3,264,532.0,0.0,55,30/06/15,11:28,2.3
27,2,14,0,214120,214120x1,time,5,9,34,66,0,3,170,594,0.0,66,30/06/15,11:28,2.3
28,2,14,0,214120,214120x1,time,6,7,86,14,0,3,516,98,0.0,13,30/06/15,11:28,2.3
29,2,14,0,214120,214120x1,time,4,8.5,98,2,0,3,392,17.0,0.0,1,30/06/15,11:28,2.3
30,2,14,0,214120,214120x1,time,1,4.5,40,60,0,3,40,270.0,0.0,60,30/06/15,11:28,2.3
31,2,14,0,214120,214120x1,time,4,9,56,44,0,3,224,396,1.0,44,30/06/15,11:28,2.3
32,2,14,0,214120,214120x1,time,5,8,74,26,0,3,370,208,0.0,25,30/06/15,11:28,2.3
33,2,14,0,214120,214120x1,time,7.5,9,22,78,0,3,165.0,702,0.0,77,30/06/15,11:28,2.3
34,2,14,0,214120,214120x1,time,2,6,94,6,0,3,188,36,0.0,5,30/06/15,11:28,2.3
35,2,14,0,214120,214120x1,time,2.5,9,68,32,0,3,170.0,288,0.0,32,30/06/15,11:28,2.3
36,2,14,0,214120,214120x1,time,1,7,82,18,0,3,82,126,0.0,17,30/06/15,11:28,2.3
37,2,14,0,214120,214120x1,time,5,6,4,96,0,3,20,576,0.0,96,30/06/15,11:28,2.3
38,2,14,0,214120,214120x1,time,6,9,16,84,0,3,96,756,0.0,84,30/06/15,11:28,2.3
39,2,14,0,214120,214120x1,time,2,7,66,34,0,3,132,238,0.0,33,30/06/15,11:28,2.3
40,2,14,0,214120,214120x1,time,2.5,8,88,12,0,3,220.0,96,0.0,11,30/06/15,11:28,2.3
