qid,tid,vid,enumid,wzb.hh.id,interview_wzb.ind.id,treatment,pL,pR,nL,nR,tL,tR,aL,aR,timing,start_n2,date,time,version
1,2,14,0,214158,214158x1,time,1,6,78,22,3,6,78,132,2.0,22,30/06/15,11:16,2.3
2,2,14,0,214158,214158x1,time,1,7,96,4,3,6,96,28,1.0,4,30/06/15,11:16,2.3
3,2,14,0,214158,214158x1,time,5,7.5,36,64,3,6,180,480.0,0.0,63,30/06/15,11:16,2.3
4,2,14,0,214158,214158x1,time,5,5.5,10,90,3,6,50,495.0,0.0,89,30/06/15,11:16,2.3
5,2,14,0,214158,214158x1,time,2,6,34,66,3,6,68,396,0.0,66,30/06/15,11:16,2.3
6,2,14,0,214158,214158x1,time,3,3.5,24,76,3,6,72,266.0,0.0,76,30/06/15,11:16,2.3
7,2,14,0,214158,214158x1,time,1,2.5,42,58,3,6,42,145.0,0.0,58,30/06/15,11:16,2.3
8,2,14,0,214158,214158x1,time,6,7,76,24,3,6,456,168,0.0,24,30/06/15,11:16,2.3
9,2,14,0,214158,214158x1,time,7.5,9,34,66,3,6,255.0,594,0.0,66,30/06/15,11:16,2.3
10,2,14,0,214158,214158x1,time,0.5,7,46,54,3,6,23.0,378,0.0,53,30/06/15,11:16,2.3
11,2,14,0,214158,214158x1,time,0.5,2,58,42,3,6,29.0,84,0.0,42,30/06/15,11:16,2.3
12,2,14,0,214158,214158x1,time,1,4.5,22,78,3,6,22,351.0,0.0,77,30/06/15,11:16,2.3
13,2,14,0,214158,214158x1,time,3,9.5,24,76,3,6,72,722.0,0.0,76,30/06/15,11:16,2.3
14,2,14,0,214158,214158x1,time,6,8,38,62,3,6,228,496,0.0,61,30/06/15,11:16,2.3
15,2,14,0,214158,214158x1,time,1.5,9,24,76,3,6,36.0,684,0.0,76,30/06/15,11:16,2.3
16,2,14,0,214158,214158x1,time,3,9,86,14,3,6,258,126,0.0,14,30/06/15,11:16,2.3
17,2,14,0,214158,214158x1,time,1,2,12,88,3,6,12,176,0.0,87,30/06/15,11:16,2.3
18,2,14,0,214158,214158x1,time,3,8.5,36,64,3,6,108,544.0,0.0,64,30/06/15,11:16,2.3
19,2,14,0,214158,214158x1,time,0.5,8,46,54,3,6,23.0,432,0.0,54,30/06/15,11:16,2.3
20,2,14,0,214158,214158x1,time,2.5,4,42,58,3,6,105.0,232,0.0,58,30/06/15,11:16,2.3
21,2,14,0,214158,214158x1,time,2.5,4,66,34,0,3,165.0,136,0.0,34,30/06/15,11:16,2.3
22,2,14,0,214158,214158x1,time,3,8.5,8,92,0,3,24,782.0,1.0,91,30/06/15,11:16,2.3
23,2,14,0,214158,214158x1,time,3,9.5,30,70,0,3,90,665.0,0.0,70,30/06/15,11:16,2.3
24,2,14,0,214158,214158x1,time,0.5,7,68,32,0,3,34.0,224,0.0,31,30/06/15,11:16,2.3
25,2,14,0,214158,214158x1,time,0.5,2,52,48,0,3,26.0,96,0.0,47,30/06/15,11:16,2.3
26,2,14,0,214158,214158x1,time,1,2,98,2,0,3,98,4,0.0,1,30/06/15,11:16,2.3
27,2,14,0,214158,214158x1,time,7.5,9,44,56,0,3,330.0,504,0.0,55,30/06/15,11:16,2.3
28,2,14,0,214158,214158x1,time,5,5.5,94,6,0,3,470,33.0,0.0,6,30/06/15,11:16,2.3
29,2,14,0,214158,214158x1,time,5,7.5,6,94,0,3,30,705.0,1.0,93,30/06/15,11:16,2.3
30,2,14,0,214158,214158x1,time,1,2.5,80,20,0,3,80,50.0,1.0,20,30/06/15,11:16,2.3
31,2,14,0,214158,214158x1,time,6,8,52,48,0,3,312,384,1.0,48,30/06/15,11:16,2.3
32,2,14,0,214158,214158x1,time,3,9,100,0,0,3,300,0,0.0,0,30/06/15,11:16,2.3
33,2,14,0,214158,214158x1,time,1,4.5,18,82,0,3,18,369.0,0.0,81,30/06/15,11:16,2.3
34,2,14,0,214158,214158x1,time,3,3.5,44,56,0,3,132,196.0,0.0,56,30/06/15,11:16,2.3
35,2,14,0,214158,214158x1,time,1,7,34,66,0,3,34,462,0.0,65,30/06/15,11:16,2.3
36,2,14,0,214158,214158x1,time,1,6,44,56,0,3,44,336,1.0,56,30/06/15,11:16,2.3
37,2,14,0,214158,214158x1,time,6,7,66,34,0,3,396,238,5.0,34,30/06/15,11:16,2.3
38,2,14,0,214158,214158x1,time,2,6,28,72,0,3,56,432,1.0,71,30/06/15,11:16,2.3
39,2,14,0,214158,214158x1,time,1.5,9,86,14,0,3,129.0,126,3.0,13,30/06/15,11:16,2.3
40,2,14,0,214158,214158x1,time,0.5,8,44,56,0,3,22.0,448,31.0,56,30/06/15,11:16,2.3
